gap,GAg,1,109,12,0,1446359,4985650
gap,GAg,1,109,22,0,1436023,4969755
gap,GAg,1,1111,59,0,1452680,4968103
gap,GAg,1,165,28,0,1422363,4928788
gap,GAg,1,263,34,0,1441807,4997684
gap,GAg,1,493,36,0,1415878,4938669
gap,GAg,1,555,59,0,486711,3969871
gcc,GAg,1,109,12,0,2577893,10411253
gcc,GAg,1,109,22,0,2519935,10303349
gcc,GAg,1,1111,59,0,2506727,10353275
gcc,GAg,1,165,28,0,2553952,10336463
gcc,GAg,1,263,34,0,2534215,10262562
gcc,GAg,1,493,36,0,2408498,10300834
gcc,GAg,1,555,59,0,2451732,10245368
twolf,GAg,1,109,12,0,2066798,8659792
twolf,GAg,1,109,22,0,1991406,8692873
twolf,GAg,1,1111,59,0,1892371,8680862
twolf,GAg,1,165,28,0,1982298,8586798
twolf,GAg,1,263,34,0,2053104,8797529
twolf,GAg,1,493,36,0,1706038,8613943
twolf,GAg,1,555,59,0,1956163,8543890
vortex,GAg,1,109,12,0,1935858,9359732
vortex,GAg,1,109,22,0,1934448,9266847
vortex,GAg,1,1111,59,0,1652587,9047219
vortex,GAg,1,165,28,0,1889048,9380092
vortex,GAg,1,263,34,0,1813429,9226792
vortex,GAg,1,493,36,0,1480266,8931909
vortex,GAg,1,555,59,0,1842119,9340893
vpr,GAg,1,109,12,0,1698631,7435167
vpr,GAg,1,109,22,0,1679857,7391605
vpr,GAg,1,1111,59,0,1536519,7255611
vpr,GAg,1,165,28,0,1726991,7273290
vpr,GAg,1,263,34,0,1628321,7108269
vpr,GAg,1,493,36,0,1626537,7515406
vpr,GAg,1,555,59,0,1590946,7148998
