gap,GAg,1,131072,17,1,49885,3630181
gap,GAg,1,16384,14,1,63029,3636625
gap,GAg,1,262144,18,1,49023,3628819
gap,GAg,1,32768,15,1,56948,3632685
gap,GAg,1,4096,12,1,94735,3660219
gap,GAg,1,65536,16,1,51860,3630654
gap,GAg,1,8192,13,1,73009,3644194
gcc,GAg,1,131072,17,1,2522898,11131492
gcc,GAg,1,16384,14,1,2967988,11802661
gcc,GAg,1,262144,18,1,2313974,10851884
gcc,GAg,1,32768,15,1,2898021,11688868
gcc,GAg,1,4096,12,1,2998149,11852586
gcc,GAg,1,65536,16,1,700558,8810214
gcc,GAg,1,8192,13,1,2991211,11840614
twolf,GAg,1,131072,17,1,417241,7280797
twolf,GAg,1,16384,14,1,527645,7378247
twolf,GAg,1,262144,18,1,404322,7267062
twolf,GAg,1,32768,15,1,476186,7335727
twolf,GAg,1,4096,12,1,692966,7515911
twolf,GAg,1,65536,16,1,438485,7300312
twolf,GAg,1,8192,13,1,602426,7444691
vortex,GAg,1,131072,17,1,1061731,9268813
vortex,GAg,1,16384,14,1,1373249,9653137
vortex,GAg,1,262144,18,1,1040838,9243230
vortex,GAg,1,32768,15,1,1215619,9475404
vortex,GAg,1,4096,12,1,1628111,10017868
vortex,GAg,1,65536,16,1,102887,7993445
vortex,GAg,1,8192,13,1,1516918,9858633
vpr,GAg,1,131072,17,1,635172,6144275
vpr,GAg,1,16384,14,1,769193,6296810
vpr,GAg,1,262144,18,1,619846,6132925
vpr,GAg,1,32768,15,1,701230,6212269
vpr,GAg,1,4096,12,1,939076,6451237
vpr,GAg,1,65536,16,1,655482,6163059
vpr,GAg,1,8192,13,1,850067,6363775
